SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/17/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.039425","1.892373"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/18/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034411","1.651748"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/19/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.03558","1.707814"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/20/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.03541","1.699669"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/21/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035239","1.691481"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/22/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034906","1.675470"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/23/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035045","1.682173"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/24/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.027792","1.333970"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/25/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035005","1.680222"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/26/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034995","1.679761"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/27/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.037454","1.797777"
